url,recette,quantites,ingredients
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,300, g de mascarpone
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,75, g de sucre en poudre
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,,Rhum
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,400, g de boudoir
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,500, ml de café
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,120, g de Nutella®
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,,Sucre
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,500, ml de lait
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,8, jaune d'oeuf
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,120, g de sucre en poudre
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,35, g de fécule de maïs
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,,pincée de sel
http://www.marmiton.org/recettes/recette_mini-tiramisu-au-nutella_346559.aspx,Mini tiramisu au Nutella®,1, gousse de vanille
http://www.marmiton.org/recettes/recette_madeleines-au-coeur-de-nutella_68476.aspx,Madeleines au coeur de nutella,125, g de beurre demi-sel
http://www.marmiton.org/recettes/recette_madeleines-au-coeur-de-nutella_68476.aspx,Madeleines au coeur de nutella,3, oeuf
http://www.marmiton.org/recettes/recette_madeleines-au-coeur-de-nutella_68476.aspx,Madeleines au coeur de nutella,130, g de sucre roux
http://www.marmiton.org/recettes/recette_madeleines-au-coeur-de-nutella_68476.aspx,Madeleines au coeur de nutella,1, cuillère à soupe de miel
http://www.marmiton.org/recettes/recette_madeleines-au-coeur-de-nutella_68476.aspx,Madeleines au coeur de nutella,150, g de farine
http://www.marmiton.org/recettes/recette_madeleines-au-coeur-de-nutella_68476.aspx,Madeleines au coeur de nutella,1/2, sachet de levure
http://www.marmiton.org/recettes/recette_madeleines-au-coeur-de-nutella_68476.aspx,Madeleines au coeur de nutella,1, citron
http://www.marmiton.org/recettes/recette_madeleines-au-coeur-de-nutella_68476.aspx,Madeleines au coeur de nutella,2, cuillère à soupe de nutella
http://www.marmiton.org/recettes/recette_muffins-maxi-moelleux-aux-framboises-des-cantoches_340465.aspx,Muffins maxi moelleux aux Framboises des Cantoches,250, g de farine de blé
http://www.marmiton.org/recettes/recette_muffins-maxi-moelleux-aux-framboises-des-cantoches_340465.aspx,Muffins maxi moelleux aux Framboises des Cantoches,3, oeuf
http://www.marmiton.org/recettes/recette_muffins-maxi-moelleux-aux-framboises-des-cantoches_340465.aspx,Muffins maxi moelleux aux Framboises des Cantoches,125, g de beurre
http://www.marmiton.org/recettes/recette_muffins-maxi-moelleux-aux-framboises-des-cantoches_340465.aspx,Muffins maxi moelleux aux Framboises des Cantoches,150, ml de lait
http://www.marmiton.org/recettes/recette_muffins-maxi-moelleux-aux-framboises-des-cantoches_340465.aspx,Muffins maxi moelleux aux Framboises des Cantoches,100, g de sucre
http://www.marmiton.org/recettes/recette_muffins-maxi-moelleux-aux-framboises-des-cantoches_340465.aspx,Muffins maxi moelleux aux Framboises des Cantoches,1, sachet de levure chimique
http://www.marmiton.org/recettes/recette_muffins-maxi-moelleux-aux-framboises-des-cantoches_340465.aspx,Muffins maxi moelleux aux Framboises des Cantoches,1, pincée de sel
http://www.marmiton.org/recettes/recette_muffins-maxi-moelleux-aux-framboises-des-cantoches_340465.aspx,Muffins maxi moelleux aux Framboises des Cantoches,25, g de chocolat noir
http://www.marmiton.org/recettes/recette_crumble-aux-fruits-rouges-aromatise-a-la-pistache_41023.aspx,Crumble aux fruits rouges aromatisé à la pistache,1, sachet de fruits rouges
http://www.marmiton.org/recettes/recette_crumble-aux-fruits-rouges-aromatise-a-la-pistache_41023.aspx,Crumble aux fruits rouges aromatisé à la pistache,130, g de beurre
http://www.marmiton.org/recettes/recette_crumble-aux-fruits-rouges-aromatise-a-la-pistache_41023.aspx,Crumble aux fruits rouges aromatisé à la pistache,180, g de farine
http://www.marmiton.org/recettes/recette_crumble-aux-fruits-rouges-aromatise-a-la-pistache_41023.aspx,Crumble aux fruits rouges aromatisé à la pistache,100, g de sucre roux
http://www.marmiton.org/recettes/recette_crumble-aux-fruits-rouges-aromatise-a-la-pistache_41023.aspx,Crumble aux fruits rouges aromatisé à la pistache,50, g de pistache
http://www.marmiton.org/recettes/recette_crumble-a-la-banane_13195.aspx,Crumble à la banane,125, g de farine
http://www.marmiton.org/recettes/recette_crumble-a-la-banane_13195.aspx,Crumble à la banane,180, g de beurre
http://www.marmiton.org/recettes/recette_crumble-a-la-banane_13195.aspx,Crumble à la banane,60, g de cassonade
http://www.marmiton.org/recettes/recette_crumble-a-la-banane_13195.aspx,Crumble à la banane,30, g de sucre
http://www.marmiton.org/recettes/recette_crumble-a-la-banane_13195.aspx,Crumble à la banane,3, banane
http://www.marmiton.org/recettes/recette_crumble-a-la-banane_13195.aspx,Crumble à la banane,2, pomme
http://www.marmiton.org/recettes/recette_crumble-a-la-banane_13195.aspx,Crumble à la banane,,Citron
http://www.marmiton.org/recettes/recette_crumble-a-la-banane_13195.aspx,Crumble à la banane,4, cuillère à soupe de pistache
http://www.marmiton.org/recettes/recette_crumble-a-la-banane_13195.aspx,Crumble à la banane,,Sel
http://www.marmiton.org/recettes/recette_choux-a-la-chantilly-nappes-de-chocolat-chaud_21745.aspx,Choux à la chantilly nappés de chocolat chaud,6, cl d'eau
http://www.marmiton.org/recettes/recette_choux-a-la-chantilly-nappes-de-chocolat-chaud_21745.aspx,Choux à la chantilly nappés de chocolat chaud,25, g de beurre
http://www.marmiton.org/recettes/recette_choux-a-la-chantilly-nappes-de-chocolat-chaud_21745.aspx,Choux à la chantilly nappés de chocolat chaud,35, g de farine
http://www.marmiton.org/recettes/recette_choux-a-la-chantilly-nappes-de-chocolat-chaud_21745.aspx,Choux à la chantilly nappés de chocolat chaud,1, oeuf
http://www.marmiton.org/recettes/recette_choux-a-la-chantilly-nappes-de-chocolat-chaud_21745.aspx,Choux à la chantilly nappés de chocolat chaud,1, pincée de sel
http://www.marmiton.org/recettes/recette_choux-a-la-chantilly-nappes-de-chocolat-chaud_21745.aspx,Choux à la chantilly nappés de chocolat chaud,125, g de crème fraîche
http://www.marmiton.org/recettes/recette_choux-a-la-chantilly-nappes-de-chocolat-chaud_21745.aspx,Choux à la chantilly nappés de chocolat chaud,1, sachet de sucre vanillé
http://www.marmiton.org/recettes/recette_choux-a-la-chantilly-nappes-de-chocolat-chaud_21745.aspx,Choux à la chantilly nappés de chocolat chaud,100, g de chocolat
http://www.marmiton.org/recettes/recette_choux-a-la-chantilly-nappes-de-chocolat-chaud_21745.aspx,Choux à la chantilly nappés de chocolat chaud,5, cl de lait
http://www.marmiton.org/recettes/recette_choux-a-la-chantilly-nappes-de-chocolat-chaud_21745.aspx,Choux à la chantilly nappés de chocolat chaud,15, g de beurre
http://www.marmiton.org/recettes/recette_clafoutis-aux-brugnons_30495.aspx,Clafoutis aux brugnons,20, g de beurre
http://www.marmiton.org/recettes/recette_clafoutis-aux-brugnons_30495.aspx,Clafoutis aux brugnons,150, g de sucre en poudre
http://www.marmiton.org/recettes/recette_clafoutis-aux-brugnons_30495.aspx,Clafoutis aux brugnons,6, brugnon
http://www.marmiton.org/recettes/recette_clafoutis-aux-brugnons_30495.aspx,Clafoutis aux brugnons,3, oeuf
http://www.marmiton.org/recettes/recette_clafoutis-aux-brugnons_30495.aspx,Clafoutis aux brugnons,50, g de farine
http://www.marmiton.org/recettes/recette_clafoutis-aux-brugnons_30495.aspx,Clafoutis aux brugnons,,Sel
http://www.marmiton.org/recettes/recette_clafoutis-aux-brugnons_30495.aspx,Clafoutis aux brugnons,20, cl de lait
http://www.marmiton.org/recettes/recette_clafoutis-aux-brugnons_30495.aspx,Clafoutis aux brugnons,10, cl de crème liquide
http://www.marmiton.org/recettes/recette_clafoutis-aux-brugnons_30495.aspx,Clafoutis aux brugnons,1, cuillère à soupe de sucre glace
http://www.marmiton.org/recettes/recette_sables-maison_19412.aspx,Sablés maison,200, g de farine
http://www.marmiton.org/recettes/recette_sables-maison_19412.aspx,Sablés maison,125, g de sucre
